title,Year,Certificate,genres,overview,Runtime,Rating,No.of.Ratings,id,original_language,poster
Bahubali: The Beginning,2015.0,UA,"Action, Drama            ","    In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",159,8.1,99114,271726.0,te,https://image.tmdb.org/t/p/w500//56DErD8o0rTxKfabWPHfvhbn8A8.jpg
Baahubali 2: The Conclusion,2017.0,UA,"Action, Drama            ","    When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",167,8.2,71458,325561.0,te,https://image.tmdb.org/t/p/w500//txwqjwp5l9ApKqUBvj56oBmTfmO.jpg
1 - Nenokkadine,2014.0,UA,"Action, Thriller            ",    A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,170,8.1,42372,134374.0,te,https://image.tmdb.org/t/p/w500//txagTxnwbpSOvSf6JdIIvUPsJHN.jpg
Dhoom:3,2013.0,UA,"Action, Thriller            ","    When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.",172,5.4,42112,44977.0,te,https://image.tmdb.org/t/p/w500//rUVTM5EQUQ2I0fcfE46AkvBYWae.jpg
Ra.One,2011.0,U,"Action, Adventure, Sci-Fi            ","    When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",156,4.6,37211,56703.0,te,
Dhoom:2,2006.0,UA,"Action, Thriller            ","    Mr A, a fearless thief, steals valuable artefacts and teams up with the girl he is attracted to but who cannot be trusted. Close on their heels are three police officers trying to apprehend them.",152,6.5,22983,14194.0,te,https://image.tmdb.org/t/p/w500//3zJLnrP9g9LSMpX5C1wau49gGUv.jpg
Eega,2012.0,UA,"Action, Fantasy            ",    A murdered man is reincarnated as a housefly and seeks to avenge his death.,145,7.7,20636,108063.0,te,https://image.tmdb.org/t/p/w500//5Pjsi0qSa29BJeE656bVuVOm2qC.jpg
Krrish 3,2013.0,U,"Action, Sci-Fi            ","    Krrish and his scientist father have to save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",152,5.2,20026,184315.0,te,https://image.tmdb.org/t/p/w500//5X3VOy9lD44VclKsWTi8gHZGjhL.jpg
Arjun Reddy,2017.0,A,"Action, Drama, Romance            ","    Arjun Reddy, a short tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.",182,8.1,19419,521077.0,te,https://image.tmdb.org/t/p/w500//6NokDZ6xpTl5PjLe0PZg6M2GEdh.jpg
Rangasthalam,2018.0,UA,"Action, Drama            ","    The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president.",170,8.4,17559,461126.0,te,https://image.tmdb.org/t/p/w500//yiEzDgBBFC25Zd6z0r7sMngn5vr.jpg
Magadheera,2009.0,A,"Action, Drama, Fantasy            ","    A bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. A sinister figure from their shared past threatens to separate them forever.",166,7.6,17542,345013.0,te,
War,2019.0,UA,"Action, Thriller            ",    An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.,154,6.5,17459,10431.0,te,https://image.tmdb.org/t/p/w500//scFc8RD4sFxB2x0eIOaymphMnYh.jpg
Bharat Ane Nenu,2018.0,UA,"Action, Drama            ","    Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",173,7.7,14945,488015.0,te,
